,Georgia Tech A,Chicago A,Cornell A,Yale A,WUSTL A,Stanford A
Chicago A,394 - 574,,666 - 325,836 - 159,842 - 152,722 - 268
Cornell A,259 - 731,325 - 666,,687 - 298,704 - 285,573 - 408
Yale A,133 - 857,159 - 836,298 - 687,,525 - 452,373 - 608
WUSTL A,106 - 892,152 - 842,285 - 704,452 - 525,,348 - 634
Stanford A,190 - 796,268 - 722,408 - 573,608 - 373,634 - 348,
Georgia Tech A,,574 - 394,731 - 259,857 - 133,892 - 106,796 - 190
